Gender,Class year,What type of financial aid do you receive from Brown?,Are you currently on a varsity sports team?,How would you describe your sexual orientation?,Race/ethnicity (check all that apply),Concentration area(s),"Are you a legacy student (i.e. you have a parent, grandparent or sibling who attended Brown)?",Do you identify as a first-generation college student?,Were you a domestic or international applicant when you applied to Brown?,"Are you involved with a Greek life organization? (sorority of fraternity, NOT program housing) ",Do you live on or off campus?,Do you approve or disapprove of the way Christina Paxson is handling her job as the president of the University?,Do you approve or disapprove of the way the Undergraduate Council of Students is handling its job?,How satisfied are you with the available meal plan options?,"If the 2020 Democratic primary were held today, which candidate would you vote for?","Taking all things together, how happy would you say you are?",What do you think is the most important issue facing this country today?,How safe do you feel outside on campus after dark?,How safe do you feel outside in areas surrounding campus after dark? (incl. Thayer Street) ,How satisfied are you with your current housing situation?,How often do you use an E-cigarette (e.g. JUUL)?,What type of romantic or sexual relationship are you in right now?,What type of romantic or sexual relationship do you want right now?
Male,Sophomore,None,No,Heterosexual,"White, Asian","Physical sciences (incl. math, CS)",Yes,No,Domestic,No,On campus,Somewhat approve,No opinion,Very dissatisfied,Tulsi Gabbard,Somewhat happy,Environment/Climate change,Very safe,Very safe,Very unsatisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Female,First-year,"Grants, covering all costs",No,Heterosexual,Asian,Life sciences,No,No,International,No,On campus,Somewhat approve,Somewhat approve,No opinion,Elizabeth Warren,Very happy,Current government leadership,Somewhat safe,Somewhat unsafe,Very satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Male,First-year,"Grants, covering some costs",No,Heterosexual,Black,"Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat satisfied,I am unsure,Very happy,Environment/Climate change,Very safe,Very safe,Very satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Male,First-year,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat dissatisfied,Other,Somewhat happy,Environment/Climate change,Somewhat safe,Unsure,Somewhat satisfied,Never,Not in any kind of relationship,Not in any kind of relationship
Female,Junior,"Grants, covering some costs",No,Gay,White,Humanities/arts,No,No,Domestic,No,On campus,Somewhat disapprove,No opinion,Somewhat dissatisfied,Elizabeth Warren,Somewhat happy,Gap between rich and poor,Very safe,Very safe,Very satisfied,Never,Not in any kind of relationship,Do not know
Female,Sophomore,"Grants, covering some costs",No,Bisexual,White,Humanities/arts,No,No,Domestic,No,On campus,Somewhat approve,No opinion,Somewhat dissatisfied,Elizabeth Warren,Very happy,Gap between rich and poor,Somewhat safe,Somewhat safe,Very satisfied,Two to three times a week,Exclusive relationship with one other person,Consistent hook-ups with multiple people
Female,First-year,"Grants, covering some costs",No,Heterosexual,Black,Social sciences (not incl. BEO or econ),No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat dissatisfied,Elizabeth Warren,Somewhat happy,Environment/Climate change,Somewhat safe,Somewhat unsafe,Very satisfied,Never,Not in any kind of relationship,Do not know
Male,Senior,"Grants, covering some costs",No,Heterosexual,Other,"Physical sciences (incl. math, CS)",No,No,International,No,On campus,Strongly approve,No opinion,Very dissatisfied,Other,Somewhat happy,Other,Very safe,Somewhat safe,Somewhat unsatisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Male,Junior,"Grants, covering some costs",No,Heterosexual,Black,Life sciences,No,Yes,Domestic,No,On campus,Somewhat approve,No opinion,Somewhat dissatisfied,I am unsure,Very happy,Poverty/Homelessness,Very safe,Somewhat safe,Very satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Female,Junior,"Grants, covering some costs",No,Heterosexual,Hispanic,Social sciences (not incl. BEO or econ),No,No,Domestic,No,On campus,Somewhat disapprove,Strongly approve,Very dissatisfied,I am unsure,Very happy,Current government leadership,Somewhat safe,Somewhat safe,Somewhat satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
